PID,,,PPID,,,Threads,,,Handles,,,Session,,,Status,,
Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation
1171.809524,553912.158,744.2527514,606.0952381,298008.381,545.9014389,12.57142857,185.0801394,13.60441617,283.8809524,78811.42451,280.7337253,0.19047619,0.255516841,0.505486737,0,0,0
1176.666667,571742.374,756.1364784,606.0952381,298008.381,545.9014389,12.73809524,232.344367,15.24284642,284.5238095,78834.45064,280.7747329,0.19047619,0.255516841,0.505486737,0,0,0
1112.095238,496650.5273,704.7343665,606.0952381,298008.381,545.9014389,12.73809524,226.0029036,15.03339295,282.8571429,77268.27178,277.9717104,0.19047619,0.255516841,0.505486737,0,0,0
1123.047619,484722.583,696.2202116,606.0952381,298008.381,545.9014389,12.71428571,227.184669,15.07264638,281.7619048,76849.64925,277.2176929,0.19047619,0.255516841,0.505486737,0,0,0
1173.238095,558950.6249,747.6300053,606.0952381,298008.381,545.9014389,12.85714286,226.7595819,15.0585385,284.5238095,78753.13357,280.6298872,0.19047619,0.255516841,0.505486737,0,0,0
1156.952381,511674.3879,715.3141883,606.0952381,298008.381,545.9014389,12.69047619,229.3896632,15.14561531,286.7619048,77895.55168,279.0977458,0.19047619,0.255516841,0.505486737,0,0,0
1154.604651,525116.1019,724.6489508,654.5116279,392415.2558,626.4305674,12,177.6666667,13.32916602,281.1395349,75022.36102,273.9021012,0.186046512,0.250276855,0.500276778,0,0,0
1154.604651,525116.1019,724.6489508,654.5116279,392415.2558,626.4305674,11.90697674,181.7054264,13.47981552,282.1395349,75336.02769,274.4740929,0.186046512,0.250276855,0.500276778,0,0,0
1154.604651,525116.1019,724.6489508,654.5116279,392415.2558,626.4305674,12.13953488,179.7895903,13.40856406,282.6511628,75227.42303,274.2761802,0.186046512,0.250276855,0.500276778,0,0,0
1154.604651,525116.1019,724.6489508,654.5116279,392415.2558,626.4305674,12,175.4285714,13.24494513,282.9069767,74923.37209,273.7213402,0.186046512,0.250276855,0.500276778,0,0,0
1217.787234,550634.3016,742.0473715,635.2340426,362712.0962,602.2558395,11.38297872,174.0675301,13.19346543,263.4468085,74390.29602,272.7458451,0.170212766,0.231267345,0.480902636,0,0,0
1264.571429,594022.6667,770.7286596,625.3061224,350179.5918,591.7597416,10.87755102,165.8596939,12.87865264,256.4081633,72857.57993,269.9214329,0.163265306,0.222789116,0.472005419,0,0,0
1243.234043,608380.9658,779.9877985,586.7234043,264273.4653,514.0753498,11.23404255,174.9657724,13.22746281,265.6382979,75045.32285,273.9440141,0.170212766,0.231267345,0.480902636,0,0,0
1238.857143,620775.3333,787.8929707,508.0816327,101072.9932,317.9197905,11.30612245,168.8835034,12.99551859,276.5306122,104904.1709,323.8891337,0.183673469,0.236394558,0.486204235,0,0,0
1257.957447,625860.7808,791.1136333,509.9574468,105379.3895,324.6219177,11.40425532,171.0721554,13.07945547,263.4042553,75291.3765,274.3927413,0.191489362,0.245143386,0.495119567,0,0,0
1198.26087,555943.5749,745.6162383,560.5217391,215923.6329,464.6758363,11.32608696,171.6913043,13.10310285,265.4130435,74647.80338,273.217502,0.195652174,0.249758454,0.499758396,0,0,0
1218.723404,563537.4653,750.6913249,601.3617021,289621.062,538.1645306,11.0212766,173.760407,13.18182108,259.4255319,74229.68455,272.4512517,0.191489362,0.245143386,0.495119567,0,0,0
1195.25,559612.3617,748.0724308,682.5,426516.1702,653.0820547,11.10416667,172.010195,13.11526572,258.0416667,73846.76418,271.7476112,0.1875,0.240691489,0.490603189,0,0,0
1177.276596,515371.9001,717.894073,552.8510638,187824.6512,433.3874147,11.63829787,172.1054579,13.11889698,266.9148936,74748.73173,273.4021429,0.191489362,0.245143386,0.495119567,0,0,0
